season_year,season,personId,playerName,n_shots,actual,expected,var,spoe,se,spoe_per_shot,se_per_shot,z,ci_lo,ci_hi,significant,shrinkage,spoe_per_shot_shrunk,spoe_shrunk_total
2013,2013-14,202326,Cousins,1191,1182,1031.9366437044923,1049.8688274677727,150.06335629550767,32.40167939270699,0.12599778026490988,0.027205440296143565,4.631345013841601,86.55606468580197,213.57064790521338,above,0.8765679978252809,0.11062375262531729,131.7528893767529
2013,2013-14,2547,Bosh,953,1058,919.0186541446119,1094.4779526456527,138.9813458553881,33.08289516722581,0.14583561999516065,0.03471447551650137,4.2010031211860985,74.13887132762552,203.8238203831507,above,0.8134893161882998,0.11890488130759416,113.31635188613724
2013,2013-14,201158,Belinelli,695,800,662.4430928493756,963.1907657397127,137.5569071506244,31.035314816185007,0.19792360741097034,0.04465512923192087,4.432270397943187,76.72769011090179,198.386124190347,above,0.7249638881898033,0.14388438581012658,99.99964813803797
2013,2013-14,101181,Calderon,748,873,740.5988797371285,1179.115091162032,132.40112026287147,34.33824531280001,0.17700684527121854,0.04590674507058825,3.8557916706803095,65.09815944978345,199.7040810759595,above,0.7138044401003837,0.1267612946349566,94.81744838694755
2013,2013-14,201167,Afflalo,1011,1056,927.1311018893493,1278.7459762485162,128.86889811065066,35.75955783071871,0.1274667637098424,0.03537048252296609,3.6037609503087245,58.780164762441984,198.95763145885934,above,0.8077416929241159,0.10323767670344562,104.37329114718352
2013,2013-14,201586,Ibaka,978,1071,947.9266917346723,919.2252822597446,123.07330826532768,30.318728242783283,0.12584182849215508,0.031000744624522784,4.059316316957411,63.64860090947245,182.4980156211829,above,0.8454217722742174,0.10661250093150558,104.26702591101245
2013,2013-14,201933,Griffin,1359,1448,1326.0883994404699,1229.8296059200425,121.91160055953014,35.06892650082181,0.08970684367883013,0.025804949595895372,3.4763425266716745,53.17650461791939,190.6466965011409,above,0.8875568841387115,0.07978219872018188,108.42400806072718
2013,2013-14,101108,Paul,870,890,770.7647672461708,1040.6016427032353,119.23523275382922,32.25835771863216,0.13705199167106807,0.037078572090381796,3.696258619048047,56.008851625310186,182.46161388234827,above,0.7926673811011071,0.10893585496857655,94.7741938226616
2013,2013-14,2225,Parker,914,937,822.0134703051267,920.8253719608146,114.9865296948733,30.345104579829915,0.12580583117601019,0.03320033323832595,3.7892942300585672,55.510124718406665,174.46293467133992,above,0.8266455935696267,0.10424701205335037,95.28176901676224
2013,2013-14,202738,Thomas,1096,1119,1004.7068367996528,1411.3951985159717,114.29316320034718,37.56854001043921,0.1042820832119956,0.034277864973028475,3.042257249512183,40.65882477988633,187.92750162080802,above,0.8172996137164946,0.08549337002526142,93.70073354768651
2013,2013-14,2548,Wade,761,839,725.0707087880133,725.2055662226378,113.92929121198665,26.929641034047183,0.14970997531141478,0.035387176128839924,4.230627919174477,61.14719478525417,166.71138763871915,above,0.8075950974952323,0.12118271085943129,92.22004296402721
2013,2013-14,200746,Aldridge,1423,1307,1193.4127324594158,1304.5894368903757,113.58726754058421,36.11910072095339,0.07982239461741687,0.025382361715357266,3.1447977738462916,42.79383012751556,184.38070495365287,above,0.890810689851335,0.07126421875017462,101.40898328149848
2013,2013-14,201609,Dragic,1093,1226,1117.5293422892432,1343.0882477932685,108.47065771075677,36.64816840980281,0.09924122388907299,0.03352988875553779,2.959783869628327,36.640247627543275,180.30106779397028,above,0.8237964059478403,0.08200885142746156,89.63567461021549
2013,2013-14,2564,Diaw,580,649,540.5318188364821,650.7191445857754,108.4681811635179,25.509197254829,0.1870141054543412,0.04398137457729138,4.252120522647353,58.47015454405306,158.46620778298274,above,0.7309849047704366,0.1370927166651022,79.51377566575927
2013,2013-14,2034,Miller,443,533,426.0544979697657,670.7866279273668,106.94550203023431,25.899548797756434,0.2414119684655402,0.05846399277145922,4.129241897816326,56.1823863866317,157.70861767383693,above,0.6059538230271341,0.14685317217160196,65.05595527201967
