personId,playerName_x,season_year,spoe_per_shot_x,n_shots_x,se_per_shot_x,playerName_x1,spoe_per_shot_x1,n_shots_x1,se_per_shot_x1,pair
201586,Ibaka,2013,0.12584182849215508,978,0.031000744624522784,Ibaka,0.09154699662192585,786,0.03900202537420521,2013-14 -> 2014-15
201933,Griffin,2013,0.08970684367883013,1359,0.025804949595895372,Griffin,0.06892843620096877,1144,0.028121569789236012,2013-14 -> 2014-15
101108,Paul,2013,0.13705199167106807,870,0.037078572090381796,Paul,0.19675358035053472,1170,0.03287400068960038,2013-14 -> 2014-15
2225,Parker,2013,0.12580583117601019,914,0.03320033323832595,Parker,0.1262831109113773,832,0.035496497856614885,2013-14 -> 2014-15
202738,Thomas,2013,0.1042820832119956,1096,0.034277864973028475,Thomas,0.021629007872668388,796,0.04194953438338327,2013-14 -> 2014-15
2548,Wade,2013,0.14970997531141478,761,0.035387176128839924,Wade,0.04132903878198838,1084,0.03067880760341829,2013-14 -> 2014-15
200746,Aldridge,2013,0.07982239461741687,1423,0.025382361715357266,Aldridge,0.09599368731906849,1415,0.026567261149939393,2013-14 -> 2014-15
201609,Dragic,2013,0.09924122388907299,1093,0.03352988875553779,Dragic,0.06855059299950014,1002,0.03500424399100073,2013-14 -> 2014-15
2564,Diaw,2013,0.1870141054543412,580,0.04398137457729138,Diaw,0.04419391029344213,632,0.0440408951856014,2013-14 -> 2014-15
201988,Mills,2013,0.1588540352108985,666,0.047026815188231694,Mills,-0.03210321235302871,336,0.06752954226549052,2013-14 -> 2014-15
201627,Morrow,2013,0.20243006107310968,520,0.05078589994844201,Morrow,0.19451791933494944,615,0.04984126037486193,2013-14 -> 2014-15
202691,Thompson,2013,0.08110955576510401,1259,0.03359095130739516,Thompson,0.1002373843955108,1299,0.03285332792021206,2013-14 -> 2014-15
201567,Love,2013,0.07179052771385053,1421,0.030453596922223488,Love,-0.007906802047272754,952,0.03824513918053745,2013-14 -> 2014-15
201593,Pekovic,2013,0.1392441738749138,701,0.03618706029230548,Pekovic,-0.052418360559625184,328,0.0528842863740203,2013-14 -> 2014-15
2216,Randolph,2013,0.07515326848461173,1198,0.027707616221021168,Randolph,0.08507407892110336,932,0.03148526417503316,2013-14 -> 2014-15
201143,Horford,2013,0.2134441449910749,420,0.04672562342823665,Horford,0.14903523284357906,965,0.03076253475305514,2013-14 -> 2014-15
203114,Middleton,2013,0.10378539591401019,854,0.03892975645497556,Middleton,0.12524706279201073,869,0.03815464652482213,2013-14 -> 2014-15
101161,Johnson,2013,0.14055521484311023,612,0.04053516078377472,Johnson,0.13066193529388226,519,0.04360579519478334,2013-14 -> 2014-15
201188,Gasol,2013,0.12029029859460583,711,0.035752658721879604,Gasol,0.11512327129979161,1072,0.029001042345470178,2013-14 -> 2014-15
1495,Duncan,2013,0.091425735720026,906,0.031576333546131825,Duncan,0.11721149305942043,819,0.032839588286482216,2013-14 -> 2014-15
203076,Davis,2013,0.08236514778990425,1005,0.029147620697077867,Davis,0.12143103730576349,1199,0.026590209374779357,2013-14 -> 2014-15
2747,Smith,2013,0.08581165800001014,955,0.03893890861738759,Smith,0.05964627903770194,755,0.0450235131802216,2013-14 -> 2014-15
2200,Gasol,2013,0.09091015070996863,885,0.03234891667968972,Gasol,0.10550547237865471,1153,0.028317785245623145,2013-14 -> 2014-15
202362,Stephenson,2013,0.09143707617294823,870,0.037524640585069914,Stephenson,-0.13090205683406514,550,0.04520788809676582,2013-14 -> 2014-15
202695,Leonard,2013,0.1230813385611544,645,0.043271577776358115,Leonard,0.07279507554270752,822,0.03748439402513517,2013-14 -> 2014-15
101135,Lee,2013,0.07961120821100219,981,0.0301505336551898,Lee,0.03560635814508056,313,0.052988939546624744,2013-14 -> 2014-15
201975,Meeks,2013,0.0838697301913776,892,0.04005127143709953,Meeks,0.023486052277905622,534,0.050413353744834556,2013-14 -> 2014-15
202344,Booker,2013,0.18499990613993592,403,0.04691173473473655,Booker,0.052604340203755665,464,0.04790028306839862,2013-14 -> 2014-15
2449,Scola,2013,0.13308856766525962,560,0.04059284926828029,Scola,0.07540019344084777,642,0.038179776861444054,2013-14 -> 2014-15
202693,Morris,2013,0.08739435804162513,845,0.034633818292873854,Morris,0.06902380415687111,1100,0.031208903115467805,2013-14 -> 2014-15
