name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Myles Turner","Indiana Pacers",2016-03-13,2015,3133628,1610612754,400828871,4,6,16,0,"Jump Shot","2PT Field Goal",20,"Atlanta Hawks",-32,198,0,0.00,,0.00,0.00
"Tyler Zeller","Boston Celtics",2016-02-29,2015,6631,1610612738,400828773,4,11,49,0,"Jump Shot","2PT Field Goal",18,"Utah Jazz",20,180,0,0.00,,0.00,0.00
"Mike Scott","Atlanta Hawks",2016-04-09,2015,6622,1610612737,400829075,4,9,50,0,"Jump Shot","3PT Field Goal",25,"Boston Celtics",-143,210,0,0.00,,0.00,0.00
Nene,"Washington Wizards",2016-04-10,2015,,1610612764,400829081,2,8,29,0,"Jump Shot","2PT Field Goal",14,"Charlotte Hornets",-133,61,0,0.00,,0.00,0.00
"Nick Young","Los Angeles Lakers",2016-02-26,2015,3243,1610612747,400828755,4,8,17,0,"Jump Shot","3PT Field Goal",28,"Memphis Grizzlies",-117,264,0,0.00,,0.00,0.00
"Iman Shumpert","Cleveland Cavaliers",2015-12-28,2015,6468,1610612739,400828353,4,3,54,1,"Jump Shot","2PT Field Goal",20,"Phoenix Suns",202,-1,0,2.50,"Warren, TJ",6.10,9.40
"Zach Randolph","Memphis Grizzlies",2016-04-09,2015,1017,1610612763,400829077,2,0,28,1,"Jump Shot","2PT Field Goal",18,"Golden State Warriors",9,180,0,0.00,,0.00,0.00
"Patrick Patterson","Toronto Raptors",2015-12-20,2015,4264,1610612761,400828295,2,2,24,0,"Jump Shot","3PT Field Goal",25,"Sacramento Kings",209,139,0,1.00,"Rondo, Rajon",10.30,14.40
"Thaddeus Young","Brooklyn Nets",2016-01-24,2015,3244,1610612751,400828551,1,1,47,0,"Jump Shot","2PT Field Goal",20,"Oklahoma City Thunder",0,208,0,0.00,,0.00,0.00
"Nerlens Noel","Philadelphia 76ers",2015-12-20,2015,2991280,1610612755,400828292,1,8,46,0,"Jump Shot","2PT Field Goal",5,"Cleveland Cavaliers",-40,36,0,1.10,"Smith, J.R.",6.50,1.80
