personId,playerName,total_shots,actual_points,exp_points,points_diff,pct_diff
1630551,Champagnie,411,494,460.96660916228535,33.03339083771465,7.16609804705066
1629018,Trent Jr.,657,746,696.62660012285,49.37339987714995,7.087488332136563
1629029,Dončić,1025,1099,1026.3040210128863,72.69597898711368,7.083272272737025
1628960,Allen,489,587,548.5081398199487,38.491860180051276,7.017542167608447
1630560,Thomas,454,466,435.95963780127335,30.040362198726655,6.890613416438788
201572,Lopez,774,927,868.5004859578712,58.499514042128794,6.735683817237183
1628969,Bridges,1183,1348,1263.8208662056506,84.17913379434935,6.660680278232473
1628401,White,959,1113,1044.3830541121267,68.61694588787327,6.570087470955052
1641810,Reeves,248,277,260.11359805249526,16.886401947504737,6.491908594878937
1630572,Mamukelashvili,281,342,321.9741320499372,20.025867950062775,6.219693993931442
1626204,Nance Jr.,155,194,182.6907937914937,11.30920620850631,6.190319758649651
1627752,Prince,514,617,581.1673586378349,35.83264136216508,6.165621515622602
1641764,Podziemski,629,675,635.8685691340377,39.13143086596233,6.15400276494654
1629618,Pickett,180,194,182.82484309154083,11.175156908459172,6.112460207752892
1629008,Porter Jr.,1048,1249,1177.0546126844235,71.94538731557645,6.112318444452759
1629631,Hunter,762,873,823.2039472386784,49.79605276132156,6.0490468295113144
1629014,Simons,1125,1173,1106.9880710727618,66.01192892723816,5.963196083161622
1629021,Wagner,249,307,289.84126009268704,17.158739907312963,5.920026949081154
1631157,Rollins,271,313,295.65986800281706,17.340131997182937,5.864872180858821
203482,Olynyk,268,301,284.42529022769503,16.57470977230497,5.827418330083422
1629130,Robinson,663,770,727.6208461442588,42.37915385574115,5.824337749108626
202695,Leonard,623,698,659.8850051241819,38.11499487581807,5.775996850947813
1627827,Finney-Smith,435,519,490.6915363682461,28.30846363175391,5.769083801696443
1629673,Poole,1057,1149,1086.734984276522,62.26501572347797,5.729543939315671
1630200,Jones,238,275,260.1674785211733,14.83252147882672,5.701121658986681
203078,Beal,694,792,749.4006125723357,42.59938742766428,5.684453664496538
1629636,Garland,1174,1320,1249.4627878989993,70.5372121010007,5.645398672946782
1626157,Towns,1215,1420,1344.700431612753,75.29956838724706,5.599723969724443
1630217,Bane,1018,1150,1089.0923566288593,60.90764337114069,5.592508943372131
1642366,Post,274,319,302.15148497821036,16.848515021789638,5.576162983734741
1627777,Niang,620,738,699.1702006083497,38.82979939165034,5.55368976265963
1627783,Siakam,1182,1352,1281.6965764631518,70.30342353684819,5.485180344247095
1627734,Sabonis,893,1119,1061.193203524005,57.80679647599504,5.447334360103995
203957,Exum,134,151,143.23992330628116,7.760076693718844,5.4174997721329
1630557,Kispert,565,630,597.6805187565515,32.319481243448536,5.407475424484884
1630544,Mann,161,164,155.5870978300858,8.41290216991419,5.407163071754837
202709,Joseph,154,163,154.6388966738967,8.36110332610329,5.406821593870509
1642349,Mitchell,184,205,194.65478763401,10.345212365989994,5.314618430683893
1631128,Braun,821,1041,990.4676130771618,50.532386922838214,5.10186655646215
1630558,Mitchell,476,530,504.2782433698568,25.721756630143204,5.100697077725631
1628386,Allen,640,904,860.2987667424978,43.70123325750217,5.0797681165224216
1629003,Milton,254,268,255.04476491007406,12.955235089925935,5.0795727168783955
201942,DeRozan,1308,1332,1268.1385542366368,63.861445763363236,5.0358373847746565
1628978,DiVincenzo,593,674,642.725245641397,31.27475435860299,4.865952584119685
1627826,Zubac,942,1184,1129.228421114209,54.77157888579109,4.850349969782762
1630595,Cunningham,1457,1517,1447.5740568785855,69.42594312141455,4.796016813878937
1628381,Collins,531,619,590.8073758212262,28.192624178773826,4.771872798787925
1627780,Payton II,298,373,356.06378288863635,16.936217111363646,4.756498796080223
203468,McCollum,1000,1059,1011.7722258654258,47.22777413457425,4.667822089695813
1626145,Jones,683,778,743.5564043083124,34.44359569168762,4.632271226419763
1642272,McCain,274,303,289.6268147416822,13.37318525831779,4.617369112232979
1631103,Branham,190,208,199.06387836833423,8.93612163166577,4.489049853953174
1642271,Filipowski,518,597,571.5396742027613,25.46032579723874,4.4546830954337935
1629684,Williams,123,135,129.27501956225413,5.72498043774587,4.4284937431794535
1630162,Edwards,1612,1762,1687.3684391717406,74.63156082825935,4.422953213191586
1630538,Hyland,118,126,120.69728917807686,5.302710821923142,4.393360384834937
203081,Lillard,992,1085,1039.4660816102491,45.53391838975085,4.380506049235709
1630643,Huff,305,395,378.43665947964126,16.563340520358736,4.376768565563383
1641726,Lively II,191,268,256.8568192876644,11.143180712335607,4.338268051655439
1630193,Quickley,438,453,434.83570143687416,18.16429856312584,4.177268961682338
1630167,Toppin,599,744,714.1683600077746,29.831639992225405,4.177110033382089
1629655,Gafford,403,566,543.892215548667,22.107784451333032,4.064728851054192
1631255,Matković,230,287,275.83357041956475,11.16642958043525,4.048234259922636
1631221,Gillespie,158,175,168.24149041453333,6.758509585466669,4.0171240741945455
202331,George,570,586,563.3928901930107,22.607109806989342,4.012665064444429
204456,McConnell,624,663,638.6231088617278,24.376891138272185,3.8170953460747232
1641716,Walker,360,415,399.9038693248844,15.096130675115603,3.774930447983979
203484,Caldwell-Pope,544,591,569.6098304087573,21.39016959124274,3.7552252255970946
1630548,Juzang,475,526,507.1229972685789,18.8770027314211,3.722364319790534
1626158,Holmes,139,180,173.58633892188007,6.4136610781199295,3.694774698404867
203932,Gordon,497,603,582.0893123147317,20.91068768526827,3.5923442192527038
1630230,Marshall,712,784,757.359003566694,26.640996433305986,3.5176133289114135
1630191,Stewart,315,369,356.55254868381206,12.447451316187937,3.4910468181109615
1629638,Alexander-Walker,616,681,658.8039664811463,22.19603351885371,3.369135730322233
1629656,Grimes,823,930,900.3104740928759,29.689525907124107,3.2976949379700278
202687,Biyombo,114,134,129.83030001912306,4.169699980876942,3.211629229825766
1629026,Williams,354,408,396.1941228635673,11.805877136432684,2.9798138480614575
1631133,Walker,229,264,256.69768450105164,7.30231549894836,2.8447031246544796
1627824,Yabusele,563,668,649.5445944511998,18.455405548800172,2.8412794585102406
1631107,Jović,377,422,410.50635864062355,11.493641359376454,2.7998624427676826
1628449,Boucher,370,434,422.3386106544746,11.661389345525379,2.761140336198733
1629675,Reid,923,1027,999.6882079765923,27.311792023407747,2.732028294942567
