name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Ben McLemore","Sacramento Kings",2016-01-25,2015,2578213,1610612758,400828561,1,3,53,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",0,1,0,0.00,,0.00,0.00
"Jeremy Lamb","Charlotte Hornets",2016-02-03,2015,6603,1610612766,400828622,1,0,00,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,0,0.00,,0.00,0.00
"JaVale McGee","Dallas Mavericks",2016-01-31,2015,3452,1610612742,400828604,2,8,51,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-20,2015,3442,1610612746,400828709,1,7,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-01-31,2015,3442,1610612746,400828601,4,3,16,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-03-20,2015,3442,1610612746,400828927,2,4,18,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,,0.00,0.00
"Andre Iguodala","Golden State Warriors",2016-01-11,2015,2386,1610612744,400828455,4,8,37,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Miami Heat",0,1,0,0.00,"Bosh, Chris",4.10,12.60
"Andre Iguodala","Golden State Warriors",2016-02-09,2015,2386,1610612744,400828675,4,2,56,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2015-12-14,2015,3442,1610612746,400828246,1,0,38,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Detroit Pistons",0,1,0,0.00,"Drummond, Andre",3.10,4.70
"DeAndre Jordan","Los Angeles Clippers",2016-01-22,2015,3442,1610612746,400828535,2,3,28,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,"Lopez, Robin",2.00,19.80
