personId,season_year,season,fg_pct,fg3_pct,fg2_pct,total_attempts,fg3_attempts,fg2_attempts
2225,2013,2013-14,0.4989059080962801,0.373134328358209,0.5088547815820543,914,67,847
2229,2013,2013-14,0.23809523809523808,0.2,0.25,21,5,16
2248,2013,2013-14,0.2727272727272727,0.2857142857142857,0.25,11,7,4
2365,2013,2013-14,0.6436363636363637,0.25,0.6615969581749049,275,12,263
2399,2013,2013-14,0.43023255813953487,0.37962962962962965,0.4666666666666667,774,324,450
2400,2013,2013-14,0.5314685314685315,0.4117647058823529,0.5476190476190477,143,17,126
2403,2013,2013-14,0.5033670033670034,0.2,0.5059422750424448,594,5,589
2405,2013,2013-14,0.557347670250896,0.0,0.557347670250896,558,0,558
2406,2013,2013-14,0.39444444444444443,0.39357429718875503,0.3951890034364261,540,249,291
2408,2013,2013-14,0.5,0.0,0.5,6,0,6
2419,2013,2013-14,0.4065040650406504,0.2898550724637681,0.425531914893617,492,69,423
2422,2013,2013-14,0.36319612590799033,0.38650306748466257,0.348,413,163,250
2427,2013,2013-14,0.373134328358209,0.3541666666666667,0.42105263157894735,67,48,19
2430,2013,2013-14,0.4561224489795918,0.0,0.4570552147239264,980,2,978
2440,2013,2013-14,0.43833017077798864,0.34275618374558303,0.5491803278688525,527,283,244
2446,2013,2013-14,0.4636363636363636,0.41935483870967744,0.5208333333333334,110,62,48
2449,2013,2013-14,0.46964285714285714,0.14285714285714285,0.47377938517179025,560,7,553
2457,2013,2013-14,0.4406779661016949,0.4,0.4827586206896552,118,60,58
2501,2013,2013-14,0.47333333333333333,0.0,0.47333333333333333,150,0,150
2544,2013,2013-14,0.5668883961566888,0.3790849673202614,0.6217765042979942,1353,306,1047
2546,2013,2013-14,0.4522215459525259,0.40240963855421685,0.46905537459283386,1643,415,1228
2547,2013,2013-14,0.5162644281217209,0.3394495412844037,0.5687074829931973,953,218,735
2548,2013,2013-14,0.545335085413929,0.28125,0.5569272976680384,761,32,729
2549,2013,2013-14,0.5086705202312138,0.0,0.5131195335276968,346,3,343
2550,2013,2013-14,0.3925686591276252,0.3512396694214876,0.41909814323607425,619,242,377
2555,2013,2013-14,0.5560165975103735,0.23529411764705882,0.5803571428571429,241,17,224
2557,2013,2013-14,0.3853211009174312,0.3425925925925926,0.4063926940639269,327,108,219
2561,2013,2013-14,0.48775292864749736,0.26666666666666666,0.49134199134199136,939,15,924
2564,2013,2013-14,0.5206896551724138,0.4017857142857143,0.5491452991452992,580,112,468
