personId,playerFullName
203120,Justin Hamilton
203121,Darius Miller
203123,Kostas Papanikolaou
203124,Kyle O'Quinn
203128,Furkan Aldemir
203129,Tornike Shengelia
203130,Darius Johnson-Odom
203133,Robbie Hummel
203135,Robert Sacre
203136,Ognjen Kuzmic
203138,Hollis Thompson
203139,Viacheslav Kravtsov
203141,Mirza Teletovic
203142,Chris Copeland
203143,Pablo Prigioni
203144,Alexey Shved
203145,Kent Bazemore
203146,Maalik Wayns
203147,Chris Smith
203148,Brian Roberts
203156,Henry Sims
203159,Scott Machado
203183,Tony Mitchell
203186,Willie Reed
203187,Chris Johnson
203197,Diante Garrett
203200,Justin Holiday
203210,JaMychal Green
203263,James Nunnally
203268,Jorge Gutierrez
203315,Toure' Murry
203318,Glen Rice
203382,Aron Baynes
203457,Nerlens Noel
203458,Alex Len
203459,Allen Crabbe
203460,Andre Roberson
203461,Anthony Bennett
203462,Archie Goodwin
203463,Ben McLemore
203464,Brandon Paul
203467,Carrick Felix
203468,CJ McCollum
203469,Cody Zeller
203471,Dennis Schröder
203473,Dewayne Dedmon
203474,DJ Stephens
203475,Erick Green
203476,Gorgui Dieng
203477,Isaiah Canaan
203479,Jamaal Franklin
203480,James Southerland
203481,Jeff Withey
203482,Kelly Olynyk
203484,Kentavious Caldwell-Pope
203485,Lorenzo Brown
203486,Mason Plumlee
203487,Michael Carter-Williams
203488,Mike Muscala
203489,Nate Wolters
203490,Otto Porter Jr.
203491,Peyton Siva
203492,Ray McCallum
203493,Reggie Bullock Jr.
203495,Ricky Ledo
203496,Robert Covington
203497,Rudy Gobert
203498,Shabazz Muhammad
203499,Shane Larkin
203500,Steven Adams
203501,Tim Hardaway Jr.
203502,Tony Mitchell
203503,Tony Snell
203504,Trey Burke
203505,Vander Blue
203506,Victor Oladipo
203507,Giannis Antetokounmpo
203508,Sergey Karasev
203510,Pierre Jackson
203511,Grant Jerrett
203512,Lucas Nogueira
203513,Erik Murphy
203515,Phil Pressey
203516,James Ennis III
203517,Nemanja Nedovic
203518,Alex Abrines
203519,Adonis Thomas
203521,Matthew Dellavedova
203524,Solomon Hill
203526,Raul Neto
203527,Ryan Kelly
203530,Joffrey Lauvergne
203539,Gal Mekel
203540,Gigi Datome
203543,Vitor Faverani
203544,Pero Antic
203545,Miroslav Raduljica
203546,Ian Clark
203548,Elias Harris
203552,Seth Curry
203561,Brandon Davies
203564,Kalin Lucas
203565,Patrick Christopher
203569,Chris Babb
203580,Larry Drew II
203584,Troy Daniels
203585,Rodney McGruder
203590,Trey McKinney-Jones
203613,Jonathon Simmons
203648,Thanasis Antetokounmpo
203658,Norvel Pelle
203687,Reggie Hearn
203705,Josh Magette
203710,C.J. Williams
203798,PJ Hairston
203805,Will Cherry
203810,Casper Ware
203816,Scotty Hopson
203893,Russ Smith
203894,Shabazz Napier
203895,Jordan McRae
203897,Zach LaVine
203898,Tyler Ennis
203900,Markel Brown
203901,Elfrid Payton
203902,Semaj Christon
203903,Jordan Clarkson
203906,Devyn Marble
203909,KJ McDaniels
203910,Nick Johnson
203912,C.J. Wilcox
203913,Jabari Brown
203914,Gary Harris
203915,Spencer Dinwiddie
203917,Nik Stauskas
203918,Rodney Hood
203919,Jordan Adams
203920,Khem Birch
203921,Cleanthony Early
203922,Glenn Robinson III
203923,James Young
203924,Jerami Grant
203925,Joe Harris
203926,Doug McDermott
203928,Cory Jefferson
203930,Sean Kilpatrick
203932,Aaron Gordon
203933,T.J. Warren
203934,Lamar Patterson
203935,Marcus Smart
203937,Kyle Anderson
203939,Dwight Powell
203940,Adreian Payne
203943,Noah Vonleh
203944,Julius Randle
203945,Alex Kirk
203946,Cameron Bairstow
203948,Johnny O'Bryant III
203949,James Michael McAdoo
203950,Jarnell Stokes
203951,Keith Appling
203952,Andrew Wiggins
203953,Jabari Parker
203954,Joel Embiid
203955,Bryce Cotton
203956,Mitch McGary
203957,Danté Exum
203958,Andre Dawkins
203960,JaKarr Sampson
203961,Eric Moreland
203962,Josh Huestis
