player_name,exp_points,actual_points,shots,luck
Charles Hayes,0.5332509227546062,0,1,-0.5332509227546062
Charlie Villanueva,277.7497003407486,207,265,-70.74970034074857
Chase Budinger,139.00390434636742,111,127,-28.00390434636742
Chris Andersen,43.487660542904884,42,36,-1.4876605429048837
Chris Bosh,432.8059719316401,482,429,49.1940280683599
Chris Copeland,31.090196388085218,26,29,-5.090196388085218
Chris Johnson,195.14553011199794,169,189,-26.145530111997942
Chris Kaman,39.02178425686235,41,43,1.9782157431376532
Chris McCullough,94.14873460053441,84,94,-10.14873460053441
Chris Paul,633.314815095711,707,743,73.68518490428903
Christian Wood,39.26884309258731,30,38,-9.26884309258731
Cleanthony Early,23.748878598846076,15,26,-8.748878598846076
Cliff Alexander,6.440468342028093,6,6,-0.44046834202809304
Clint Capela,274.47811277642876,252,205,-22.47811277642876
Cody Zeller,348.27273024354764,327,316,-21.27273024354764
Cole Aldrich,125.69647786243746,130,107,4.303522137562538
Corey Brewer,325.2085543934752,277,299,-48.2085543934752
Cory Jefferson,15.57908350047173,16,14,0.4209164995282695
Cory Joseph,569.481144959481,530,578,-39.48114495948096
Coty Clarke,2.730088948591048,6,3,3.269911051408952
Courtney Lee,612.3861836641054,635,617,22.613816335894626
Cristiano Felicio,38.02412961579949,42,32,3.975870384200512
DAngelo Russell,627.3869749511189,630,678,2.613025048881127
DJ Augustin,218.88901698607646,230,215,11.110983013923544
Dahntay Jones,12.36077122977302,13,14,0.6392287702269801
Damian Lillard,1509.2183428340484,1438,1437,-71.21834283404837
Damien Inglis,34.828593604555564,29,33,-5.828593604555564
Damjan Rudez,60.84770523608318,63,56,2.152294763916821
Danilo Gallinari,435.5508183633873,437,428,1.4491816366127068
Danny Green,345.00537629836566,300,325,-45.00537629836566
Dante Cunningham,236.9800704552208,246,220,9.019929544779188
Darrell Arthur,296.63436813509514,319,312,22.365631864904856
Darren Collison,375.81021930861203,433,402,57.189780691387966
Darrun Hilliard,80.03878384572062,84,86,3.9612161542793842
David Lee,365.08175774614165,348,331,-17.081757746141648
David West,275.70825764718063,337,331,61.29174235281937
DeAndre Jordan,666.9112945070294,690,484,23.088705492970576
DeJuan Blair,24.529606816125817,22,29,-2.529606816125817
DeMar DeRozan,709.0611224353739,715,731,5.938877564626068
DeMarcus Cousins,737.4795736604333,738,740,0.5204263395667112
DeMarre Carroll,177.03687654111883,176,169,-1.0368765411188292
Delon Wright,58.40703035570156,50,56,-8.407030355701558
Dennis Schroder,584.3069495286625,516,548,-68.30694952866247
Deron Williams,539.4602320902078,520,564,-19.460232090207796
Derrick Favors,403.19713090893356,432,412,28.80286909106644
Derrick Rose,719.323615242997,689,781,-30.323615242996993
Derrick Williams,451.1201799132932,435,446,-16.120179913293214
Devin Booker,445.0108662060936,445,448,-0.010866206093623987
Devin Harris,231.38321779726573,231,215,-0.38321779726572913
Devyn Marble,70.53345141382381,50,70,-20.533451413823812
Dewayne Dedmon,117.47661830607453,110,90,-7.476618306074528
Dion Waiters,520.7367646336129,494,528,-26.736764633612893
Dirk Nowitzki,759.1419610297739,838,838,78.85803897022606
Donald Sloan,273.4503597210797,258,275,-15.450359721079678
Donatas Motiejunas,204.75626467109532,196,205,-8.756264671095323
Doug McDermott,648.9369436649484,671,622,22.063056335051556
Draymond Green,454.1377915842846,471,394,16.862208415715372
Drew Gooden,42.86351638975113,32,46,-10.863516389751133
Duje Dukan,4.846761943657827,6,5,1.1532380563421727
Dwight Howard,441.3059914122013,442,333,0.6940085877986917
Dwight Powell,249.7728303433246,220,232,-29.772830343324614
Dwyane Wade,740.0109665340246,751,814,10.989033465975353
ETwaun Moore,344.44276839998116,396,369,51.55723160001884
Ed Davis,140.27852488907857,154,117,13.721475110921432
Elfrid Payton,501.1040815286269,454,527,-47.10408152862692
Elijah Millsap,39.03516516851922,23,39,-16.03516516851922
Elliot Williams,8.08073748567302,5,9,-3.080737485673019
Elton Brand,26.70434941624839,30,38,3.295650583751609
Emmanuel Mudiay,813.9570542276291,668,839,-145.9570542276291
Enes Kanter,706.1357923157756,814,699,107.86420768422443
Eric Bledsoe,279.8717530047708,305,291,25.128246995229176
Eric Gordon,341.3842999009688,350,320,8.615700099031187
Eric Moreland,6.646211471710529,6,6,-0.6462114717105294
Erick Green,7.328040756680886,7,7,-0.3280407566808856
Ersan Ilyasova,631.5558918928787,643,638,11.444108107121338
Evan Fournier,531.4684614198758,571,512,39.53153858012422
Evan Turner,406.46403382839253,389,466,-17.46403382839253
Festus Ezeli,171.53469698947745,160,124,-11.534696989477453
Frank Kaminsky,494.0979765909109,482,510,-12.09797659091089
Garrett Temple,408.55486153941547,363,405,-45.55486153941547
Gary Harris,535.5883915349518,526,486,-9.588391534951825
Gary Neal,222.2074037420711,255,256,32.79259625792889
George Hill,415.0981275003578,437,399,21.901872499642195
Gerald Green,329.79187153490443,288,324,-41.79187153490443
Gerald Henderson,264.21164954143546,241,267,-23.211649541435463
Giannis Antetokounmpo,568.2409655012402,576,519,7.759034498759775
Glenn Robinson,99.78133705769639,92,100,-7.7813370576963905
Goran Dragic,429.5079171095889,445,423,15.492082890411098
Gordon Hayward,670.7692123624757,679,676,8.230787637524259
Gorgui Dieng,311.26157347972094,337,305,25.738426520279063
Greg Monroe,889.8098563654355,964,925,74.19014363456449
Greg Smith,28.920759424131113,24,25,-4.920759424131113
Greivis Vasquez,110.80545515124047,79,116,-31.805455151240466
Harrison Barnes,295.63661578319363,287,274,-8.636615783193633
Hassan Whiteside,529.793378365826,634,501,104.20662163417398
Henry Sims,49.2929390502609,44,55,-5.292939050260898
Hollis Thompson,558.5720859221459,571,562,12.427914077854098
Ian Clark,123.25927974269291,136,120,12.740720257307089
Ian Mahinmi,507.49980830121416,522,437,14.50019169878584
Iman Shumpert,231.21967618273266,198,232,-33.219676182732655
Isaiah Canaan,361.89496348831034,350,381,-11.894963488310339
Isaiah Thomas,1020.6629964869053,935,1018,-85.66299648690529
Ish Smith,620.2982483067974,557,698,-63.298248306797404
JJ Hickson,113.36922285949291,108,96,-5.369222859492908
JJ Redick,660.4042275701373,813,700,152.59577242986268
JR Smith,653.9827376216166,707,661,53.01726237838341
JaKarr Sampson,233.75849076741116,205,239,-28.75849076741116
JaMychal Green,234.7533836483599,223,223,-11.753383648359886
JaVale McGee,160.8862037425944,146,128,-14.886203742594404
Jabari Parker,671.0749623422549,630,683,-41.074962342254935
Jae Crowder,476.6742074547901,479,461,2.325792545209879
Jahlil Okafor,420.47795327901673,439,492,18.52204672098327
Jamal Crawford,445.37434476353343,453,494,7.625655236466571
Jameer Nelson,236.46110071754643,192,256,-44.46110071754643
James Anderson,103.01735656086747,87,103,-16.01735656086747
James Ennis,70.91097374379424,73,65,2.0890262562057558
James Harden,790.6292743108011,801,796,10.370725689198935
James Johnson,251.46674771460982,242,233,-9.466747714609824
James Jones,146.04226967305974,159,143,12.957730326940265
